age,gender,income,loan_amount,pin_code,employment_type,credit_score,outcome
35,M,24796,343885,226002,self_employed,648,APPROVED
50,F,93187,137987,226002,self_employed,616,APPROVED
26,F,131921,642040,500001,informal,659,APPROVED
35,M,50561,1427275,226002,self_employed,555,APPROVED
48,M,139945,1263540,500001,self_employed,783,REJECTED
28,M,78800,1346254,400002,salaried,835,APPROVED
29,M,133250,1165484,600001,self_employed,772,APPROVED
56,M,79537,1435374,226002,salaried,621,APPROVED
60,M,134029,1428179,600002,salaried,731,APPROVED
57,M,142497,1419586,110043,self_employed,850,APPROVED
49,M,60838,666575,110043,salaried,590,APPROVED
46,F,91072,1389973,226002,informal,685,REJECTED
49,M,143348,336111,400001,self_employed,763,APPROVED
52,F,85284,945596,400002,self_employed,662,APPROVED
32,M,23864,621831,110002,salaried,825,APPROVED
30,F,137885,537954,400002,salaried,785,APPROVED
30,M,120195,835301,241001,informal,695,APPROVED
37,M,139382,202907,400001,informal,788,REJECTED
50,M,57516,1332037,600002,salaried,683,APPROVED
51,F,12184,189665,400001,salaried,638,APPROVED
41,M,124134,910378,241001,salaried,532,REJECTED
53,F,14123,63867,500002,self_employed,710,APPROVED
61,F,14371,747649,845401,informal,662,REJECTED
44,M,38756,641835,226002,informal,620,APPROVED
58,M,25154,1374577,560001,informal,838,REJECTED
45,F,83546,786151,845406,self_employed,626,APPROVED
42,M,105688,1474599,110043,informal,564,REJECTED
35,F,40756,428880,400002,informal,592,APPROVED
61,F,123204,187972,845406,salaried,528,REJECTED
31,M,69183,623878,110001,salaried,693,REJECTED
43,M,108908,1046624,226001,informal,810,APPROVED
34,F,38063,1067895,221001,salaried,516,REJECTED
54,F,70928,1105748,500001,self_employed,506,APPROVED
29,M,81937,740400,241001,self_employed,768,APPROVED
55,M,142214,1485223,845401,salaried,576,APPROVED
27,F,123763,256450,845401,informal,551,REJECTED
39,F,10672,643156,226002,self_employed,800,REJECTED
60,F,96807,1263015,500002,self_employed,671,APPROVED
37,M,114573,237041,241001,salaried,606,APPROVED
53,F,49021,1419157,400001,self_employed,519,REJECTED
62,F,57700,320601,226002,salaried,528,REJECTED
47,M,69214,1359823,273001,self_employed,547,REJECTED
23,M,47428,1324172,560001,self_employed,724,APPROVED
36,M,23494,1311415,226001,self_employed,511,APPROVED
23,M,71546,1052222,110044,self_employed,551,APPROVED
50,F,92853,298946,226001,informal,834,APPROVED
37,M,147125,947018,845406,salaried,524,APPROVED
32,F,146298,304757,221001,salaried,724,REJECTED
52,M,57606,453056,226002,informal,628,REJECTED
62,M,95245,848814,273001,informal,771,APPROVED
31,M,46070,130327,110002,salaried,741,APPROVED
29,F,56785,1176712,110044,salaried,565,REJECTED
61,M,87305,730809,500001,informal,820,APPROVED
56,M,87009,723629,560001,salaried,667,APPROVED
35,F,118174,1404616,110002,informal,572,APPROVED
23,F,95489,128386,241001,self_employed,716,REJECTED
50,F,85663,393493,500001,informal,717,REJECTED
33,M,32653,439354,221002,salaried,820,REJECTED
57,Other,86116,679054,400002,informal,826,APPROVED
42,M,100315,1295450,845401,self_employed,656,APPROVED
47,M,122434,1309114,400001,salaried,545,REJECTED
47,F,55908,920428,110001,salaried,816,APPROVED
42,M,90000,800000,560001,salaried,765,APPROVED
34,M,138586,428340,560001,self_employed,510,APPROVED
52,M,81065,147647,273001,informal,850,REJECTED
36,F,131691,1363790,600001,self_employed,641,APPROVED
50,M,112423,166713,226002,informal,653,APPROVED
55,M,143228,944832,226002,salaried,696,APPROVED
26,M,74037,824954,110044,salaried,724,REJECTED
44,F,117712,603934,600001,salaried,748,APPROVED
22,F,51403,903346,241001,self_employed,743,REJECTED
48,M,50464,206926,560001,self_employed,635,APPROVED
40,F,78680,428803,241001,salaried,753,REJECTED
25,M,108931,473075,221001,informal,691,REJECTED
41,F,65009,722934,273001,salaried,646,APPROVED
62,M,48987,531053,273001,salaried,705,APPROVED
53,M,36136,1378598,400002,salaried,797,APPROVED
53,M,35045,1159309,600002,salaried,792,APPROVED
26,M,10571,361726,845406,informal,575,REJECTED
31,M,113497,890170,400002,self_employed,552,APPROVED
34,M,18923,99703,110001,self_employed,529,REJECTED
61,M,11736,1185553,500002,informal,746,APPROVED
59,Other,24660,1078356,845406,self_employed,557,REJECTED
51,M,80600,1296136,500002,self_employed,668,REJECTED
29,F,76325,140767,500002,salaried,841,APPROVED
27,Other,54937,268760,110001,self_employed,590,APPROVED
38,M,103181,584480,600002,self_employed,757,APPROVED
45,M,54920,1155045,110002,informal,819,REJECTED
37,F,64023,191119,400001,salaried,517,APPROVED
58,M,108384,881844,845406,informal,601,APPROVED
61,M,16882,1327154,226002,informal,636,APPROVED
52,Other,120556,1410729,110043,informal,585,APPROVED
59,M,38587,997924,600001,self_employed,814,APPROVED
37,M,22053,1039362,221001,salaried,576,APPROVED
50,F,24584,1000916,600001,salaried,712,APPROVED
53,M,41067,520776,500002,self_employed,597,REJECTED
56,F,109141,834870,560002,salaried,719,REJECTED
37,M,15575,647765,110043,salaried,794,REJECTED
60,F,93177,978143,600001,self_employed,758,APPROVED
24,M,62213,1016440,560002,self_employed,548,APPROVED
25,M,75911,338817,221001,salaried,645,REJECTED
27,F,25708,338474,600002,salaried,651,APPROVED
43,F,58973,1090613,500001,self_employed,688,REJECTED
23,F,33797,355255,110044,informal,642,REJECTED
42,M,115486,670033,110043,self_employed,598,APPROVED
62,M,48765,1297905,560002,salaried,534,APPROVED
33,M,116254,91411,600001,salaried,774,APPROVED
59,F,82676,1341609,273001,self_employed,742,APPROVED
35,F,59193,931173,400001,self_employed,585,APPROVED
24,F,130847,156194,400002,salaried,793,APPROVED
44,M,105947,990535,226002,self_employed,560,REJECTED
24,M,26603,598641,500002,self_employed,506,REJECTED
43,F,14265,195655,400001,self_employed,712,APPROVED
62,Other,94510,292022,226002,informal,787,APPROVED
34,F,135644,1445115,560001,informal,560,APPROVED
51,M,95680,757789,845401,informal,694,APPROVED
22,M,141255,834875,400001,self_employed,712,REJECTED
29,F,84109,289101,600002,informal,754,APPROVED
33,M,53742,1076853,600001,salaried,595,APPROVED
49,M,57132,1002934,600002,self_employed,782,APPROVED
28,F,66218,1116073,241001,salaried,673,REJECTED
41,F,22000,200000,226001,self_employed,634,REJECTED
34,M,56428,668517,110001,salaried,725,APPROVED
49,M,39287,213022,221002,salaried,747,APPROVED
40,F,66513,433940,845406,informal,750,APPROVED
55,F,96216,1243759,560002,informal,735,APPROVED
37,Other,106898,1272436,226001,self_employed,734,APPROVED
32,M,143362,622085,560001,self_employed,839,APPROVED
62,M,45286,112334,560002,salaried,527,REJECTED
46,M,129365,724816,226002,informal,622,REJECTED
34,Other,34601,1177704,845401,self_employed,548,APPROVED
49,F,43409,137721,560001,salaried,520,REJECTED
32,Other,21302,163304,560001,self_employed,645,APPROVED
36,F,133390,879127,845406,salaried,686,APPROVED
52,F,115068,1170649,273001,self_employed,714,REJECTED
41,M,126584,804801,221001,informal,552,APPROVED
37,F,141400,628558,845406,informal,820,APPROVED
62,F,13703,453996,110002,salaried,718,APPROVED
44,M,112593,870118,226001,salaried,644,APPROVED
42,F,70695,546222,500002,salaried,589,APPROVED
49,M,124125,1239528,273001,informal,778,REJECTED
47,F,31062,1137450,500001,informal,716,APPROVED
25,F,77695,605042,110044,salaried,535,REJECTED
62,M,18244,295801,273001,informal,677,APPROVED
29,M,112458,403272,845406,salaried,505,REJECTED
57,F,19619,1003839,110043,salaried,629,APPROVED
59,M,16355,1369351,400002,informal,549,APPROVED
26,F,35979,1262434,273001,informal,770,APPROVED
51,F,131572,340715,400001,informal,707,APPROVED
43,M,136546,114997,400002,salaried,834,APPROVED
36,F,10969,1389591,500002,salaried,617,APPROVED
54,F,143618,1166397,110044,self_employed,788,APPROVED
28,M,37367,213176,845406,salaried,671,APPROVED
55,F,15948,664820,560002,salaried,849,APPROVED
28,M,43134,121461,500002,informal,512,REJECTED
23,F,127837,1277308,500002,salaried,650,APPROVED
31,F,131524,1404973,226002,self_employed,756,APPROVED
29,M,145118,1413353,400001,salaried,722,REJECTED
27,M,82335,887673,560001,salaried,702,APPROVED
40,M,126633,343297,226002,self_employed,660,APPROVED
54,Other,134443,818528,845401,self_employed,594,APPROVED
24,M,113754,745193,500001,self_employed,525,REJECTED
28,M,43116,1107503,845401,salaried,795,REJECTED
54,F,30490,943889,560002,self_employed,659,APPROVED
53,F,47517,536934,560002,self_employed,630,APPROVED
37,F,94874,83095,110044,salaried,526,APPROVED
33,M,78626,262211,221001,salaried,846,APPROVED
41,M,85212,490785,400001,salaried,796,APPROVED
40,M,61051,120483,226002,informal,761,APPROVED
24,M,12429,675773,110001,self_employed,554,REJECTED
50,M,120027,1150539,845406,salaried,632,APPROVED
60,M,102312,1043693,400001,self_employed,750,APPROVED
29,M,147965,815229,560001,informal,691,APPROVED
30,Other,50617,211826,560002,salaried,551,APPROVED
40,F,32478,504229,400001,salaried,741,APPROVED
32,M,25443,1338648,110043,informal,592,APPROVED
54,M,129391,1106582,400001,self_employed,768,APPROVED
48,F,96566,287688,560002,self_employed,745,APPROVED
40,F,74605,204154,273001,salaried,578,APPROVED
48,M,141548,1332362,845401,informal,531,REJECTED
26,M,59325,1282252,400001,self_employed,786,APPROVED
61,M,99888,682241,226002,self_employed,603,APPROVED
42,M,47563,256048,110001,informal,764,APPROVED
39,M,52033,194444,226001,self_employed,730,APPROVED
60,M,84186,260818,600001,informal,651,APPROVED
48,M,68341,1457900,110001,informal,604,APPROVED
57,F,12772,1460967,110002,salaried,534,APPROVED
52,F,126555,439909,110043,salaried,522,APPROVED
24,Other,25637,638469,241001,salaried,738,APPROVED
22,M,37941,941596,241001,salaried,765,APPROVED
57,M,98490,589653,500002,informal,750,REJECTED
34,M,46140,1189017,110001,informal,504,REJECTED
55,F,74551,558171,273001,salaried,720,APPROVED
44,F,95220,1461787,110001,self_employed,728,REJECTED
22,M,123854,191057,560002,self_employed,812,APPROVED
37,M,36226,647975,241001,self_employed,599,APPROVED
41,M,71530,489212,500002,self_employed,509,APPROVED
31,F,26261,1498282,110001,informal,604,REJECTED
43,M,14632,116266,600001,informal,560,APPROVED
43,F,85171,1109109,226001,salaried,636,APPROVED
29,M,17567,1371252,226001,self_employed,622,REJECTED
44,M,114521,324236,110002,informal,763,APPROVED
28,M,58517,1105371,400001,informal,818,APPROVED
57,F,136814,582210,110002,informal,795,APPROVED
31,F,14820,839801,600002,self_employed,839,APPROVED
32,M,91346,1282059,226001,salaried,850,APPROVED
27,F,149865,1322666,500002,salaried,801,APPROVED
53,F,36029,373581,600001,self_employed,671,REJECTED
53,M,30004,491022,221002,self_employed,692,REJECTED
46,M,100087,887480,226001,informal,703,APPROVED
57,M,46142,190833,273001,salaried,820,APPROVED
33,M,29677,378272,845401,salaried,730,APPROVED
23,M,89152,693753,110044,self_employed,563,REJECTED
58,F,43645,690830,241001,informal,504,REJECTED
62,Other,78514,999418,110044,salaried,839,REJECTED
60,M,30239,1032381,226002,self_employed,834,APPROVED
58,M,44234,1237286,226002,informal,675,REJECTED
56,M,50826,1035593,221001,salaried,609,APPROVED
35,M,32724,260690,226001,salaried,563,APPROVED
26,M,76838,596673,500001,salaried,583,APPROVED
26,Other,37583,1107792,110002,informal,666,APPROVED
60,M,44054,838441,400002,self_employed,831,APPROVED
56,M,115753,242823,500001,salaried,609,APPROVED
30,F,138964,239670,400002,informal,670,REJECTED
59,M,37903,1493082,600001,salaried,834,APPROVED
57,M,146835,834104,110001,self_employed,523,REJECTED
31,M,87810,509075,110002,self_employed,733,APPROVED
22,F,112723,458122,110002,salaried,792,APPROVED
23,F,104606,1211867,226001,self_employed,739,REJECTED
54,F,80582,911589,560002,informal,795,APPROVED
49,M,90053,1242502,273001,self_employed,812,REJECTED
26,M,134695,1474241,560002,salaried,506,REJECTED
23,M,24511,105267,845401,informal,600,REJECTED
60,M,96320,991976,845406,self_employed,605,REJECTED
55,M,54723,109918,560001,salaried,682,APPROVED
42,F,33629,1381013,500001,salaried,622,REJECTED
32,F,134640,50517,560001,salaried,526,APPROVED
31,M,19570,724114,110044,self_employed,806,APPROVED
60,Other,20418,1348937,600002,salaried,836,APPROVED
29,F,123338,356700,600002,self_employed,594,APPROVED
35,Other,53754,882664,400002,salaried,532,REJECTED
24,M,74184,1046433,221001,self_employed,537,APPROVED
25,M,53158,844764,110043,salaried,699,APPROVED
26,M,121797,643671,500001,salaried,667,APPROVED
32,M,56961,1237737,500002,informal,837,REJECTED
52,F,86031,657018,500002,self_employed,801,APPROVED
46,F,77263,1182959,221002,self_employed,512,REJECTED
28,F,124004,111282,400002,salaried,667,REJECTED
31,M,108949,105253,400002,self_employed,717,APPROVED
40,M,24034,873466,600002,salaried,843,APPROVED
29,F,12525,718129,110044,self_employed,668,APPROVED
62,F,91919,1335636,400002,salaried,675,APPROVED
25,M,32995,636732,500002,salaried,714,APPROVED
27,Other,125099,296176,110044,informal,621,APPROVED
29,F,79082,568739,845406,self_employed,719,APPROVED
36,M,111822,794079,400001,informal,588,APPROVED
58,F,66999,211903,110043,self_employed,747,APPROVED
44,M,135746,1191936,110043,informal,676,REJECTED
61,M,50515,546474,500001,informal,590,REJECTED
40,M,29602,1170767,560001,self_employed,765,REJECTED
33,M,16631,816901,110044,informal,843,APPROVED
36,M,27987,1416828,110002,salaried,515,REJECTED
57,M,130917,1401980,400001,self_employed,648,APPROVED
44,M,114413,112788,600001,salaried,665,APPROVED
23,M,22644,1496510,400002,salaried,727,APPROVED
24,F,71524,783436,600001,salaried,759,APPROVED
42,F,118114,790496,560002,self_employed,504,REJECTED
39,M,49630,1497319,226002,informal,809,REJECTED
23,M,112105,1462009,110044,salaried,503,REJECTED
24,M,125741,797676,226001,informal,787,APPROVED
30,F,88642,1008869,110043,salaried,537,APPROVED
31,M,102568,646392,221001,self_employed,585,REJECTED
47,M,78340,164574,500001,salaried,612,APPROVED
25,M,49617,1449782,600002,salaried,842,APPROVED
24,M,140116,485565,241001,self_employed,746,APPROVED
27,F,77978,1462240,241001,salaried,773,APPROVED
31,M,125340,161615,226001,salaried,527,APPROVED
46,M,112315,726166,110044,self_employed,750,APPROVED
47,M,72516,288149,560002,salaried,514,APPROVED
60,M,66509,643425,845401,self_employed,596,APPROVED
48,M,137456,636749,110044,salaried,570,REJECTED
44,F,123760,62184,241001,salaried,601,APPROVED
56,Other,40457,52935,560002,self_employed,823,APPROVED
31,M,133990,70431,241001,salaried,755,APPROVED
37,M,73558,156462,273001,self_employed,771,APPROVED
30,F,80778,228083,110043,salaried,758,REJECTED
34,F,14500,100000,845401,informal,588,REJECTED
32,M,124992,560959,600001,informal,520,APPROVED
61,M,79956,1320044,221001,self_employed,618,REJECTED
61,F,76301,1477490,600001,self_employed,732,APPROVED
35,M,132342,683644,845406,self_employed,819,APPROVED
33,M,38053,251984,500001,self_employed,623,APPROVED
32,M,125824,1206957,845406,self_employed,787,APPROVED
48,M,138077,1214288,845401,informal,743,REJECTED
41,F,81765,1225578,221001,salaried,674,APPROVED
54,M,113395,457791,400002,self_employed,808,APPROVED
22,F,39242,1316305,845406,salaried,802,REJECTED
33,F,105890,733639,600001,salaried,558,APPROVED
36,M,29490,736011,221002,salaried,671,APPROVED
48,F,107646,1011456,600001,informal,543,REJECTED
62,F,89476,513780,273001,salaried,752,REJECTED
45,M,144431,1092866,845406,self_employed,740,REJECTED
54,F,138065,576639,845406,informal,526,APPROVED
36,M,69011,1471229,560002,salaried,833,APPROVED
38,M,135233,289258,221001,informal,705,APPROVED
26,M,57816,336521,845401,salaried,826,APPROVED
53,Other,123340,700329,845406,informal,808,APPROVED
33,M,141935,386275,600002,salaried,716,APPROVED
30,M,49539,534990,400002,salaried,578,APPROVED
31,M,139551,1376720,226002,informal,601,REJECTED
48,Other,116108,199619,110002,salaried,675,APPROVED
35,F,24175,1444618,845401,informal,613,REJECTED
57,F,56788,1049409,400002,salaried,611,REJECTED
51,M,26464,282485,273001,informal,755,REJECTED
58,F,70875,1172295,400002,self_employed,519,REJECTED
33,M,131827,718794,400002,self_employed,677,APPROVED
39,M,141195,1182423,110043,self_employed,541,REJECTED
46,M,84347,1008284,221002,self_employed,659,REJECTED
51,M,105638,391110,845406,salaried,607,REJECTED
51,M,104857,234821,273001,salaried,554,APPROVED
62,F,58037,248199,845401,self_employed,585,REJECTED
30,M,109669,1166906,560001,self_employed,756,APPROVED
46,M,131183,1453310,560002,salaried,738,APPROVED
43,M,39442,1054496,500002,informal,571,REJECTED
45,M,36725,1472535,400001,informal,575,APPROVED
44,M,136080,669534,600002,salaried,557,REJECTED
45,F,146560,994323,226001,salaried,594,REJECTED
22,F,40073,1452865,600001,salaried,623,REJECTED
35,M,30451,207589,560002,informal,530,APPROVED
56,M,72447,662039,221001,salaried,575,REJECTED
31,M,69143,1468353,221002,self_employed,703,REJECTED
38,F,23565,626643,500001,salaried,573,APPROVED
37,M,90053,295259,221002,salaried,572,APPROVED
22,F,47060,308442,110002,salaried,793,APPROVED
38,M,145100,1000489,110043,self_employed,780,APPROVED
56,Other,111012,447327,845401,salaried,836,APPROVED
55,M,84461,215381,110002,salaried,825,REJECTED
24,M,71631,973328,241001,self_employed,732,REJECTED
28,F,10284,497576,221002,self_employed,567,REJECTED
29,F,44490,475410,241001,salaried,629,APPROVED
62,M,42263,94476,845406,informal,552,REJECTED
40,F,131572,297005,273001,self_employed,824,REJECTED
35,M,38918,1336191,600001,self_employed,566,APPROVED
22,F,81572,120313,600001,self_employed,828,APPROVED
47,M,28241,347532,600002,self_employed,515,APPROVED
24,Other,60096,650018,110001,salaried,524,REJECTED
55,F,34498,1404812,241001,self_employed,760,APPROVED
53,Other,34671,1003801,400002,salaried,651,APPROVED
32,F,24910,1114993,600001,salaried,595,APPROVED
38,M,139742,316804,110001,salaried,589,APPROVED
27,M,77308,123411,241001,salaried,563,APPROVED
53,M,90882,1093061,500002,salaried,701,APPROVED
31,M,27933,1162556,241001,self_employed,812,REJECTED
38,M,78498,1174293,273001,salaried,687,APPROVED
42,F,39781,1463365,500002,salaried,766,APPROVED
59,M,38566,375919,560001,salaried,730,APPROVED
62,F,82807,349649,560001,informal,786,APPROVED
41,F,47554,1434565,560002,self_employed,711,APPROVED
44,F,108031,1376864,273001,informal,730,APPROVED
26,F,60453,159276,226001,self_employed,572,REJECTED
55,M,67006,265839,845401,self_employed,811,REJECTED
59,M,15438,1459876,273001,informal,795,APPROVED
60,F,77168,203208,500001,salaried,530,APPROVED
27,F,39927,992456,400002,self_employed,543,REJECTED
39,F,27350,492463,500001,informal,790,REJECTED
34,F,49303,1134843,110001,informal,529,REJECTED
43,M,55961,1382432,560001,informal,662,REJECTED
46,M,68847,93483,110043,informal,785,REJECTED
41,F,124684,550458,400002,salaried,544,REJECTED
62,M,126235,1394481,241001,salaried,705,APPROVED
50,M,142311,238917,110043,salaried,648,REJECTED
47,M,102938,68588,241001,salaried,751,APPROVED
37,F,26285,1450448,110044,salaried,657,APPROVED
23,M,42216,1162810,560001,salaried,627,APPROVED
29,M,60484,711752,845401,salaried,774,REJECTED
47,F,109960,478248,600002,informal,532,REJECTED
25,F,56929,1072371,560002,self_employed,653,REJECTED
52,M,73594,1317521,400002,self_employed,703,REJECTED
39,F,51732,276692,560002,salaried,519,REJECTED
38,F,142732,189182,560001,salaried,808,APPROVED
34,Other,113105,158173,110043,informal,795,APPROVED
30,M,96825,806167,226002,self_employed,685,REJECTED
53,F,76463,813970,110001,self_employed,680,APPROVED
38,M,32302,885771,110043,self_employed,566,REJECTED
43,F,123790,946635,221001,informal,529,REJECTED
61,F,88517,811967,560001,informal,603,APPROVED
42,M,72808,807513,110002,self_employed,693,APPROVED
59,F,60457,276506,110002,salaried,804,APPROVED
26,M,96426,248193,110002,self_employed,697,APPROVED
45,M,130517,370845,500001,salaried,767,REJECTED
33,M,20310,855649,560002,self_employed,653,APPROVED
46,M,77417,240893,110002,salaried,550,APPROVED
58,F,106400,317213,400002,informal,694,APPROVED
32,M,70215,231349,273001,salaried,767,APPROVED
57,F,126721,1010510,600001,salaried,567,REJECTED
41,F,11683,403157,500001,informal,500,APPROVED
44,M,125966,1425673,400002,salaried,745,APPROVED
30,M,125316,397300,600001,salaried,763,APPROVED
49,F,12104,960852,110044,self_employed,644,REJECTED
29,M,110976,1259192,600001,salaried,522,APPROVED
25,M,113108,675882,273001,self_employed,732,APPROVED
52,F,144387,363065,400001,informal,616,APPROVED
26,F,15776,537227,845401,informal,766,REJECTED
44,M,134823,254730,226001,salaried,731,APPROVED
37,Other,36949,357115,560001,salaried,588,APPROVED
46,M,121159,567559,400001,salaried,517,REJECTED
51,F,30411,706535,221001,self_employed,793,APPROVED
53,M,57161,1328016,500002,salaried,648,REJECTED
51,M,73755,523656,110043,salaried,541,REJECTED
56,M,88548,733838,500001,self_employed,790,APPROVED
42,M,42405,1027066,221002,salaried,569,APPROVED
40,F,43383,422681,845406,self_employed,793,APPROVED
46,M,65775,1012122,400001,salaried,836,APPROVED
39,F,69701,256378,400002,salaried,684,APPROVED
35,F,125882,150151,600001,informal,767,APPROVED
57,M,15330,868840,600001,informal,522,REJECTED
36,M,109798,1116486,500001,informal,550,REJECTED
45,F,13195,646955,110043,salaried,657,REJECTED
48,M,69816,339395,600001,informal,711,REJECTED
54,M,62994,1251042,226002,self_employed,584,APPROVED
43,M,55143,688969,600001,salaried,560,APPROVED
50,M,117459,808919,560002,salaried,786,APPROVED
44,Other,104596,342236,400001,salaried,573,REJECTED
27,M,43182,611178,845401,salaried,602,REJECTED
29,M,71045,940669,500001,self_employed,642,APPROVED
38,M,134062,586926,500002,informal,726,APPROVED
37,F,39342,1247417,241001,self_employed,561,REJECTED
57,M,85655,204207,110002,salaried,730,APPROVED
51,M,106622,1461023,221002,self_employed,634,APPROVED
30,F,131818,1100931,110001,self_employed,703,APPROVED
23,F,105440,1350648,560001,salaried,532,APPROVED
26,Other,60578,1101775,221001,salaried,636,APPROVED
53,F,36689,1174454,273001,informal,791,APPROVED
61,F,142924,856318,400002,self_employed,783,REJECTED
62,M,16985,1301810,845406,self_employed,835,REJECTED
39,M,120905,239209,500002,informal,688,APPROVED
24,F,39046,150670,110001,informal,538,APPROVED
34,F,130028,233099,400002,salaried,591,APPROVED
61,M,146578,650769,110043,self_employed,805,APPROVED
32,M,142054,1083560,110001,informal,739,APPROVED
44,M,48782,832059,110044,salaried,583,APPROVED
55,F,18674,769004,241001,informal,574,REJECTED
23,M,78360,1210378,560001,informal,796,APPROVED
33,M,125070,792394,500002,informal,757,APPROVED
42,M,68030,1408225,226002,salaried,737,REJECTED
50,M,88108,1250483,221002,self_employed,732,APPROVED
38,F,29657,95718,273001,informal,601,REJECTED
50,M,146005,787306,110001,salaried,521,APPROVED
35,M,74871,1476780,600001,informal,541,APPROVED
34,M,93968,1127715,110001,salaried,549,APPROVED
57,F,128421,137644,500001,salaried,737,REJECTED
30,M,37560,727084,221001,informal,723,APPROVED
31,M,66666,1328074,500001,self_employed,698,APPROVED
58,M,32270,160328,110044,salaried,816,APPROVED
32,M,138838,953203,845406,salaried,699,APPROVED
55,M,75951,839218,400002,informal,614,APPROVED
31,M,136353,91546,500001,informal,718,REJECTED
35,F,24176,493532,500002,informal,850,APPROVED
29,M,43105,719689,226001,informal,799,REJECTED
61,F,12780,1000872,273001,salaried,719,REJECTED
36,F,45751,869970,600001,informal,779,APPROVED
58,Other,141988,1254686,560002,self_employed,714,APPROVED
42,M,149207,449668,400001,salaried,502,APPROVED
59,M,126873,1342506,273001,salaried,670,REJECTED
57,F,27565,1225995,241001,self_employed,604,APPROVED
47,F,99878,666926,110001,self_employed,568,APPROVED
40,M,87392,96010,600002,informal,837,APPROVED
24,F,42631,857038,500001,informal,583,APPROVED
61,F,84220,726541,560001,salaried,664,APPROVED
39,M,25359,1039193,400001,self_employed,799,REJECTED
25,Other,13398,577100,226002,salaried,726,REJECTED
28,M,146674,1378686,110044,informal,634,REJECTED
46,M,41710,158796,110001,salaried,805,APPROVED
36,F,137986,510160,600002,salaried,748,APPROVED
57,F,146557,306149,221001,salaried,826,APPROVED
27,M,141279,775319,241001,salaried,723,APPROVED
31,F,17332,644379,500001,self_employed,788,APPROVED
43,Other,116767,1106080,400002,salaried,576,APPROVED
35,F,137882,959055,560001,informal,716,APPROVED
37,M,129281,1402912,110043,informal,551,REJECTED
34,F,96642,758704,241001,informal,745,REJECTED
55,M,45411,683007,221001,salaried,613,APPROVED
