age,gender,income,loan_amount,pin_code,employment_type,credit_score,outcome
35,M,24796,343885,226002,self_employed,648,APPROVED
50,F,93187,137987,226002,self_employed,616,APPROVED
26,F,131921,642040,500001,informal,659,APPROVED
35,M,50561,1427275,226002,self_employed,555,APPROVED
48,M,139945,1263540,500001,self_employed,783,REJECTED
28,M,78800,1346254,400002,salaried,835,APPROVED
29,M,133250,1165484,600001,self_employed,772,APPROVED
56,M,79537,1435374,226002,salaried,621,APPROVED
60,M,134029,1428179,600002,salaried,731,APPROVED
57,M,142497,1419586,110043,self_employed,850,APPROVED
49,M,60838,666575,110043,salaried,590,APPROVED
46,F,91072,1389973,226002,informal,685,REJECTED
49,M,143348,336111,400001,self_employed,763,APPROVED
52,F,85284,945596,400002,self_employed,662,APPROVED
32,M,23864,621831,110002,salaried,825,APPROVED
30,F,137885,537954,400002,salaried,785,APPROVED
30,M,120195,835301,241001,informal,695,APPROVED
37,M,139382,202907,400001,informal,788,REJECTED
50,M,57516,1332037,600002,salaried,683,APPROVED
51,F,12184,189665,400001,salaried,638,APPROVED
41,M,124134,910378,241001,salaried,532,REJECTED
53,F,14123,63867,500002,self_employed,710,APPROVED
61,F,14371,747649,845401,informal,662,REJECTED
44,M,38756,641835,226002,informal,620,APPROVED
58,M,25154,1374577,560001,informal,838,REJECTED
45,F,83546,786151,845406,self_employed,626,APPROVED
42,M,105688,1474599,110043,informal,564,REJECTED
35,F,40756,428880,400002,informal,592,APPROVED
61,F,123204,187972,845406,salaried,528,REJECTED
31,M,69183,623878,110001,salaried,693,REJECTED
43,M,108908,1046624,226001,informal,810,APPROVED
34,F,38063,1067895,221001,salaried,516,REJECTED
54,F,70928,1105748,500001,self_employed,506,APPROVED
29,M,81937,740400,241001,self_employed,768,APPROVED
55,M,142214,1485223,845401,salaried,576,APPROVED
27,F,123763,256450,845401,informal,551,REJECTED
39,F,10672,643156,226002,self_employed,800,REJECTED
60,F,96807,1263015,500002,self_employed,671,APPROVED
37,M,114573,237041,241001,salaried,606,APPROVED
53,F,49021,1419157,400001,self_employed,519,REJECTED
62,F,57700,320601,226002,salaried,528,REJECTED
47,M,69214,1359823,273001,self_employed,547,REJECTED
23,M,47428,1324172,560001,self_employed,724,APPROVED
36,M,23494,1311415,226001,self_employed,511,APPROVED
23,M,71546,1052222,110044,self_employed,551,APPROVED
50,F,92853,298946,226001,informal,834,APPROVED
37,M,147125,947018,845406,salaried,524,APPROVED
32,F,146298,304757,221001,salaried,724,REJECTED
52,M,57606,453056,226002,informal,628,REJECTED
62,M,95245,848814,273001,informal,771,APPROVED
31,M,46070,130327,110002,salaried,741,APPROVED
29,F,56785,1176712,110044,salaried,565,REJECTED
61,M,87305,730809,500001,informal,820,APPROVED
56,M,87009,723629,560001,salaried,667,APPROVED
35,F,118174,1404616,110002,informal,572,APPROVED
23,F,95489,128386,241001,self_employed,716,REJECTED
50,F,85663,393493,500001,informal,717,REJECTED
33,M,32653,439354,221002,salaried,820,REJECTED
57,Other,86116,679054,400002,informal,826,APPROVED
42,M,100315,1295450,845401,self_employed,656,APPROVED
47,M,122434,1309114,400001,salaried,545,REJECTED
47,F,55908,920428,110001,salaried,816,APPROVED
42,M,90000,800000,560001,salaried,765,APPROVED
34,M,138586,428340,560001,self_employed,510,APPROVED
52,M,81065,147647,273001,informal,850,REJECTED
36,F,131691,1363790,600001,self_employed,641,APPROVED
50,M,112423,166713,226002,informal,653,APPROVED
55,M,143228,944832,226002,salaried,696,APPROVED
26,M,74037,824954,110044,salaried,724,REJECTED
44,F,117712,603934,600001,salaried,748,APPROVED
22,F,51403,903346,241001,self_employed,743,REJECTED
48,M,50464,206926,560001,self_employed,635,APPROVED
40,F,78680,428803,241001,salaried,753,REJECTED
25,M,108931,473075,221001,informal,691,REJECTED
41,F,65009,722934,273001,salaried,646,APPROVED
62,M,48987,531053,273001,salaried,705,APPROVED
53,M,36136,1378598,400002,salaried,797,APPROVED
53,M,35045,1159309,600002,salaried,792,APPROVED
26,M,10571,361726,845406,informal,575,REJECTED
31,M,113497,890170,400002,self_employed,552,APPROVED
34,M,18923,99703,110001,self_employed,529,REJECTED
61,M,11736,1185553,500002,informal,746,APPROVED
59,Other,24660,1078356,845406,self_employed,557,REJECTED
51,M,80600,1296136,500002,self_employed,668,REJECTED
29,F,76325,140767,500002,salaried,841,APPROVED
27,Other,54937,268760,110001,self_employed,590,APPROVED
38,M,103181,584480,600002,self_employed,757,APPROVED
45,M,54920,1155045,110002,informal,819,REJECTED
37,F,64023,191119,400001,salaried,517,APPROVED
58,M,108384,881844,845406,informal,601,APPROVED
61,M,16882,1327154,226002,informal,636,APPROVED
52,Other,120556,1410729,110043,informal,585,APPROVED
59,M,38587,997924,600001,self_employed,814,APPROVED
37,M,22053,1039362,221001,salaried,576,APPROVED
50,F,24584,1000916,600001,salaried,712,APPROVED
53,M,41067,520776,500002,self_employed,597,REJECTED
56,F,109141,834870,560002,salaried,719,REJECTED
37,M,15575,647765,110043,salaried,794,REJECTED
60,F,93177,978143,600001,self_employed,758,APPROVED
24,M,62213,1016440,560002,self_employed,548,APPROVED
25,M,75911,338817,221001,salaried,645,REJECTED
27,F,25708,338474,600002,salaried,651,APPROVED
43,F,58973,1090613,500001,self_employed,688,REJECTED
23,F,33797,355255,110044,informal,642,REJECTED
42,M,115486,670033,110043,self_employed,598,APPROVED
62,M,48765,1297905,560002,salaried,534,APPROVED
33,M,116254,91411,600001,salaried,774,APPROVED
59,F,82676,1341609,273001,self_employed,742,APPROVED
35,F,59193,931173,400001,self_employed,585,APPROVED
24,F,130847,156194,400002,salaried,793,APPROVED
44,M,105947,990535,226002,self_employed,560,REJECTED
24,M,26603,598641,500002,self_employed,506,REJECTED
43,F,14265,195655,400001,self_employed,712,APPROVED
62,Other,94510,292022,226002,informal,787,APPROVED
34,F,135644,1445115,560001,informal,560,APPROVED
51,M,95680,757789,845401,informal,694,APPROVED
22,M,141255,834875,400001,self_employed,712,REJECTED
29,F,84109,289101,600002,informal,754,APPROVED
33,M,53742,1076853,600001,salaried,595,APPROVED
49,M,57132,1002934,600002,self_employed,782,APPROVED
28,F,66218,1116073,241001,salaried,673,REJECTED
41,F,22000,200000,226001,self_employed,634,REJECTED
34,M,56428,668517,110001,salaried,725,APPROVED
49,M,39287,213022,221002,salaried,747,APPROVED
40,F,66513,433940,845406,informal,750,APPROVED
55,F,96216,1243759,560002,informal,735,APPROVED
37,Other,106898,1272436,226001,self_employed,734,APPROVED
32,M,143362,622085,560001,self_employed,839,APPROVED
62,M,45286,112334,560002,salaried,527,REJECTED
46,M,129365,724816,226002,informal,622,REJECTED
34,Other,34601,1177704,845401,self_employed,548,APPROVED
49,F,43409,137721,560001,salaried,520,REJECTED
32,Other,21302,163304,560001,self_employed,645,APPROVED
36,F,133390,879127,845406,salaried,686,APPROVED
52,F,115068,1170649,273001,self_employed,714,REJECTED
41,M,126584,804801,221001,informal,552,APPROVED
